census_tract,tract_name,county_name,tangled_properties,at_risk_properties,tangled_net_equity,at_risk_net_equity,tangled_gross_positive_equity,at_risk_gross_positive_equity,tangled_gross_negative_equity,at_risk_gross_negative_equity
24005420500,Census Tract 4205; Baltimore County; Maryland,"Baltimore County, Maryland",13,5,2096012,552020,2096012,552020,,
24005420600,Census Tract 4206; Baltimore County; Maryland,"Baltimore County, Maryland",12,2,1493000,417994,1493000,417994,,
24005420800,Census Tract 4208; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,300,,300,,,
24005430104,Census Tract 4301.04; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,100,,100,,,
24005430200,Census Tract 4302; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,1067,,1067,,
24005430300,Census Tract 4303; Baltimore County; Maryland,"Baltimore County, Maryland",2,0,223775,,223775,,,
24005430400,Census Tract 4304; Baltimore County; Maryland,"Baltimore County, Maryland",1,2,29733,320511,29733,320511,,
24005430700,Census Tract 4307; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,419234,,419234,,
24005430900,Census Tract 4309; Baltimore County; Maryland,"Baltimore County, Maryland",3,6,889491,1245468,889491,1245468,,
24005440200,Census Tract 4402; Baltimore County; Maryland,"Baltimore County, Maryland",3,3,581854,254301,581854,254301,,
24005440400,Census Tract 4404; Baltimore County; Maryland,"Baltimore County, Maryland",12,10,2489792,1854448,2539847,1854448,-50055,
24005440500,Census Tract 4405; Baltimore County; Maryland,"Baltimore County, Maryland",4,4,1051696,972889,1051696,972889,,
24005441000,Census Tract 4410; Baltimore County; Maryland,"Baltimore County, Maryland",6,10,1157784,1615321,1171725,1615321,-13941,
24005441102,Census Tract 4411.02; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,69767,,69767,,,
24005450100,Census Tract 4501; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,2500,,2500,,,
24005450200,Census Tract 4502; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,1900,,1900,,
24005450300,Census Tract 4503; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,100,,100,,,
24005450501,Census Tract 4505.01; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,16500,,16500,,
24005451000,Census Tract 4510; Baltimore County; Maryland,"Baltimore County, Maryland",2,3,89666,-64403,89666,44333,,-108736
24005451701,Census Tract 4517.01; Baltimore County; Maryland,"Baltimore County, Maryland",2,0,64833,,64833,,,
24005451702,Census Tract 4517.02; Baltimore County; Maryland,"Baltimore County, Maryland",4,0,323600,,323600,,,
24005451801,Census Tract 4518.01; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,11904,,11904,,
24005451802,Census Tract 4518.02; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,25100,,25100,,
24005452100,Census Tract 4521; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,58833,,58833,,
24005452300,Census Tract 4523; Baltimore County; Maryland,"Baltimore County, Maryland",21,8,3044961,693057,3044961,693057,,
24005452400,Census Tract 4524; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,400,,400,,,
24005490400,Census Tract 4904; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,315281,,315281,,,
24005490500,Census Tract 4905; Baltimore County; Maryland,"Baltimore County, Maryland",4,0,3737982,,3737982,,,
24005490601,Census Tract 4906.01; Baltimore County; Maryland,"Baltimore County, Maryland",8,7,2337763,1513019,2337763,1513019,,
24005490602,Census Tract 4906.02; Baltimore County; Maryland,"Baltimore County, Maryland",4,4,1429101,1227421,1429101,1227421,,
24005490603,Census Tract 4906.03; Baltimore County; Maryland,"Baltimore County, Maryland",5,8,1211834,3618617,1211834,3618617,,
24005491000,Census Tract 4910; Baltimore County; Maryland,"Baltimore County, Maryland",1,5,512028,1204282,512028,1204282,,
24005491100,Census Tract 4911; Baltimore County; Maryland,"Baltimore County, Maryland",4,3,1583447,227282,1583447,227471,,-189
24005491300,Census Tract 4913; Baltimore County; Maryland,"Baltimore County, Maryland",2,3,609612,632434,609612,632434,,
24005491402,Census Tract 4914.02; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,-79991,,,,-79991
24005491500,Census Tract 4915; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,23700,,23700,,,
24005492002,Census Tract 4920.02; Baltimore County; Maryland,"Baltimore County, Maryland",1,0,300,,300,,,
24005492101,Census Tract 4921.01; Baltimore County; Maryland,"Baltimore County, Maryland",2,0,4100,,4100,,,
24005492200,Census Tract 4922; Baltimore County; Maryland,"Baltimore County, Maryland",0,1,,31300,,31300,,
Unmatched,,,6,9,1118856,1841852,1118856,1841852,,
