census_tract,tract_name,county_name,tangled_properties,at_risk_properties,tangled_net_equity,at_risk_net_equity,tangled_gross_positive_equity,at_risk_gross_positive_equity,tangled_gross_negative_equity,at_risk_gross_negative_equity,GEOID,intersectional_group,method_version,validated_against_paper_map,validation_date,source_pdf
24510080301,Census Tract 803.01; Baltimore city; Maryland,"Baltimore city, Maryland",27,3,2257026,148876,2278954,148876,-21928,NA,24510080301,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510080302,Census Tract 803.02; Baltimore city; Maryland,"Baltimore city, Maryland",48,6,5377232,524019,5377232,524019,NA,NA,24510080302,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510080400,Census Tract 804; Baltimore city; Maryland,"Baltimore city, Maryland",23,3,2590183,166565,2590183,202780,NA,-36215,24510080400,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510080500,Census Tract 805; Baltimore city; Maryland,"Baltimore city, Maryland",23,9,1811284,719967,1811284,719967,NA,NA,24510080500,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510080600,Census Tract 806; Baltimore city; Maryland,"Baltimore city, Maryland",47,4,4246385,314130,4246385,314130,NA,NA,24510080600,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510080700,Census Tract 807; Baltimore city; Maryland,"Baltimore city, Maryland",20,3,2512308,441491,2512308,441491,NA,NA,24510080700,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510080800,Census Tract 808; Baltimore city; Maryland,"Baltimore city, Maryland",4,1,704514,333200,704514,333200,NA,NA,24510080800,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510090100,Census Tract 901; Baltimore city; Maryland,"Baltimore city, Maryland",22,9,3126264,1209056,3127355,1209056,-1091,NA,24510090100,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510090200,Census Tract 902; Baltimore city; Maryland,"Baltimore city, Maryland",15,6,2818643,722864,2818643,722864,NA,NA,24510090200,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510090300,Census Tract 903; Baltimore city; Maryland,"Baltimore city, Maryland",8,10,1387878,1140004,1387878,1140004,NA,NA,24510090300,Previous advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510090400,Census Tract 904; Baltimore city; Maryland,"Baltimore city, Maryland",3,0,372227,NA,372227,NA,NA,NA,24510090400,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510090500,Census Tract 905; Baltimore city; Maryland,"Baltimore city, Maryland",7,3,667285,329726,667285,329726,NA,NA,24510090500,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510090600,Census Tract 906; Baltimore city; Maryland,"Baltimore city, Maryland",16,6,2015992,731832,2036344,731832,-20352,NA,24510090600,Previous advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510090700,Census Tract 907; Baltimore city; Maryland,"Baltimore city, Maryland",30,3,3106472,251148,3144889,251148,-38417,NA,24510090700,Previous advantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510090800,Census Tract 908; Baltimore city; Maryland,"Baltimore city, Maryland",38,6,3872032,538914,3872032,538914,NA,NA,24510090800,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510090900,Census Tract 909; Baltimore city; Maryland,"Baltimore city, Maryland",11,3,1041408,255727,1041408,255727,NA,NA,24510090900,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510100100,Census Tract 1001; Baltimore city; Maryland,"Baltimore city, Maryland",16,1,1656336,203883,1656336,203883,NA,NA,24510100100,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510100200,Census Tract 1002; Baltimore city; Maryland,"Baltimore city, Maryland",4,1,512835,59182,512835,59182,NA,NA,24510100200,Sustained disadvantage,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510100300,Census Tract 1003; Baltimore city; Maryland,"Baltimore city, Maryland",0,0,NA,NA,NA,NA,NA,NA,24510100300,Excluded from analysis,uzzi2023_reproduction,TRUE,2026-05-05,analysis/20260427uzzi_category_match/85.full.pdf
24510100400,"Census Tract 1004, Baltimore city, Maryland","Baltimore city, Maryland",0,0,NA,NA,NA,NA,NA,NA,24510100400,NA,NA,NA,NA,NA
