intersectional_group,Non-fatal shooting rate,Vacant housing percentage,College educated percentage,Black residents percentage,Median household income ($)
Contemporary advantage,NA,16,57.1,28.7,75819.4
Excluded from analysis,NA,14.7,31.2,57,57828.9
Previous advantage,NA,20,18.2,90,41633.2
Sustained advantage,NA,10.8,37.9,54,73138.6
Sustained disadvantage,NA,33.4,13.3,87.1,30073.3
Baltimore city average,NA,19.9,30.3,62.9,53849.4
